"PeriodeDeReference","Geo","Dguid","Infractions","Statistiques","UniteDeMesure","IdentificationDUniteDeMesure","FacteurScalaire","IdentificateurScalaire","Vecteur","Coordonnees","Valeur","Status","Symbole","Termine","Decimales"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44415938","11.80.5","731","","","","0"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44414583","11.80.6","336","","","","0"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44344708","11.80.7","577","","","","0"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44327460","11.80.8","0.00","","","","2"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44359593","11.80.9","559","","","","0"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44362803","11.80.10","0.00","","","","2"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44363775","11.80.11","18","","","","0"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44408073","11.80.12","0.00","","","","2"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53085150","11.80.13","30","","","","0"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53085151","11.80.14","0.00","","","","2"
"1998","Sherbrooke, Québec [24433]","2011S0503433","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44346156","12.80.1","345","","","","0"
"1998","Sherbrooke, Québec [24433]","2011S0503433","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44386823","12.80.2","237.11","","","","2"
"1998","Sherbrooke, Québec [24433]","2011S0503433","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44397546","12.80.3","","..","","","2"
"1998","Sherbrooke, Québec [24433]","2011S0503433","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44409999","12.80.4","216","","","","0"
